variant,acceptance_rate_mean,acceptance_rate_std,vehicle_km_mean,vehicle_km_std,served_share_mean,served_share_std,behavioral_acceptance_rate_mean,behavioral_acceptance_rate_std,choice_rejection_rate_mean,choice_rejection_rate_std,feasibility_rejection_rate_mean,feasibility_rejection_rate_std,vkm_per_served_trip_mean,vkm_per_served_trip_std,vkm_per_original_request_mean,vkm_per_original_request_std,avg_wait_mean,avg_wait_std,p95_wait_mean,p95_wait_std,avg_walk_mean,avg_walk_std,avg_ivt_mean,avg_ivt_std,detour_ratio_mean,detour_ratio_std,fairness_index_mean,fairness_index_std,cpu_time_mean,cpu_time_std
DoorToDoor,0.11666666666666668,0.07637626158259735,44.186922411777324,25.643340335878626,0.11666666666666668,0.07637626158259735,0.85,0.05000000000000003,0.15,0.04999999999999999,0.7333333333333334,0.1258305739211791,19.889720691521845,2.827921258283085,2.2093461205888665,1.2821670167939312,367.54127450794095,204.78086158985516,485.5597543060018,280.9176756619935,0.0,0.0,1856.2392307501632,1045.4961943741778,1.7122554669536691,1.2336626567324502,0.1574786745178899,0.22398544235159987,0.0013632332750906546,0.000845120489479467
FullModel,0.13333333333333333,0.02886751345948128,43.800696085514666,8.218983049005029,0.13333333333333333,0.02886751345948128,0.8833333333333333,0.07637626158259729,0.11666666666666665,0.07637626158259735,0.75,0.08660254037844388,16.5222197706774,0.9466340431930883,2.1900348042757334,0.41094915245025165,311.7541148639075,109.79326071499149,442.5489426415526,216.056854545194,1741.3893846474905,55.35618609886973,1461.085221899256,995.0860787821701,1.3775323367579804,0.6501597748678299,0.1741798757482489,0.10745714743622319,0.004113866637150447,0.00048080310222935104
SingleSidedDropoff,0.10000000000000002,0.1,38.16731408524854,40.45617059644446,0.10000000000000002,0.1,0.8333333333333334,0.17559422921421233,0.16666666666666666,0.1755942292142123,0.7333333333333334,0.2753785273643051,12.368835203562611,10.829266877955861,1.9083657042624271,2.0228085298222234,271.19923700972817,255.00860196681575,352.1912395015174,324.349278723288,752.2487757771472,662.0765010755619,988.517597262559,1005.7221860823631,0.7425887531570604,0.6531063538772928,0.06196402938596387,0.09003761740832782,0.0032876666324834027,0.0023343717826595756
SingleSidedPickup,0.11666666666666665,0.057735026918962574,42.38927786866811,17.148483170455204,0.11666666666666665,0.057735026918962574,0.8666666666666667,0.05773502691896258,0.13333333333333333,0.05773502691896258,0.75,0.09999999999999998,19.30068648719688,3.74450103923069,2.1194638934334056,0.8574241585227601,373.6568386187616,101.60219967338847,525.5301370363736,247.59504630664267,579.7981478153243,450.8690388392791,1402.3892462785764,444.5043913988079,1.2349495120514995,0.3073239666777227,0.1215829655293305,0.140841054856745,0.002778399968519807,0.0008030025528996396
