variant,acceptance_rate_mean,acceptance_rate_std,vehicle_km_mean,vehicle_km_std,avg_wait_mean,avg_wait_std,p95_wait_mean,p95_wait_std,avg_walk_mean,avg_walk_std,avg_ivt_mean,avg_ivt_std,detour_ratio_mean,detour_ratio_std,fairness_index_mean,fairness_index_std,cpu_time_mean,cpu_time_std
AblationNoChoice,0.135,0.24470761774374367,159.3433502420744,290.11015178437947,118.05779138252717,217.76697214261213,262.4343498935977,479.1221884337537,25.6941523331384,54.025663110436426,273.9467641853759,495.68679570833604,0.251077296320621,0.4542270686324805,0.09927549922160415,0.179723506088231,5.698417916661128,10.334805557764042
AblationNoRollingHorizon,0.20638888888888887,0.06190034893805688,668.5003977567341,373.92452687770805,3114.4559606301596,2024.3463756123529,13803.291736095243,7653.344914358807,1803.8250202076945,142.0352747524222,5980.09181953147,2192.7606779640787,6.139999067988711,2.5327648113553973,0.5000564887240508,0.06655163777360362,3.461619999977605,4.480058232005539
BidirectionalNoChoice,0.5331666666666667,0.19325032178158688,1721.602403441984,1148.9672250067715,4626.675405404819,1744.9454979790992,14850.175134015759,5023.235257512099,1652.6230452698837,523.7744997873311,3740.107836044624,1305.843644176969,3.60290659501786,1.2582128016803356,0.45872469378330843,0.14556226939932912,26.061581975004326,34.419118009776376
DoorToDoor,0.6096111111111111,0.11802497880913018,2603.7093565019354,1666.3924989295601,5003.530509167623,605.0423065135301,16390.911483832053,1363.5985781349482,0.0,0.0,3772.379305782515,294.1903095646471,3.6346981386258506,0.5927545996235333,0.5385223202298932,0.015680728686625456,12.60145645836989,15.173992113594219
DoorToDoorCapped,0.23691666666666666,0.001959823739755463,1026.3068767855457,553.1341281064562,4440.749290170378,917.5059866575912,16027.53852445476,3382.560942197369,0.0,0.0,3608.5869038128003,404.7466813996433,3.459280030918499,0.4433845729179794,0.5516030193051589,0.02825041910711853,1.1514528999881197,1.279216496752977
FullModel,0.18313888888888888,0.017745938976801136,551.9816147153361,343.25989409691493,454.1563700146976,63.002579558821544,982.3545446435409,145.78006771230696,109.04703215077815,76.00573894851912,987.7133218830007,63.358130848494525,1.002849147443946,0.007394134419902487,0.41108671846420064,0.04194554651596235,10.48540433331315,13.019530259754895
SingleSidedPickup,0.44027777777777777,0.2745233089157406,1199.3828331348811,970.637581643005,3847.07779289954,2360.8191852338095,12702.381999578041,7790.257375755802,1025.2531296725076,625.4364730414675,2666.42967502304,1651.0328184463524,2.418405925677931,1.5219083868922478,0.3941642470241309,0.23824165421118015,19.491218108315177,23.254280447171062
