package_id,comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,vkm_per_original_request,20,17,3,0,3,-0.7198929788741869,-0.7045694261857252,-1.0347520740515832,-0.45140197393516757,1.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,vkm_per_original_request,20,17,3,0,3,-0.7383789342421533,-0.7312226755041156,-1.1017585958110043,-0.3700340176170944,1.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,served_share,20,17,3,0,3,0.0,0.0,0.0,0.0,0.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,served_share,20,17,3,0,3,0.0,0.0,0.0,0.0,0.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,served_share,20,17,3,0,3,0.0,0.0,0.0,0.0,0.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,total_vehicle_km,20,17,3,0,3,-189.7836451179595,-189.54796731444833,-359.2503779434881,-95.70801825102171,1.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,total_vehicle_km,20,17,3,0,3,-155.82221793779402,-150.42772409212705,-288.2259945610476,2.7079085961735245,0.9411764705882353
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,total_vehicle_km,20,17,3,0,3,-154.35433621918776,-161.7667153158668,-320.86534365469976,-34.07892221445411,1.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,vkm_per_served_trip,20,17,3,0,3,-4.071125211560604,-4.053124210988992,-6.812117759043167,-1.772370708352252,1.0
matched_coverage,BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,vkm_per_served_trip,20,17,3,0,3,-3.282548379010564,-3.133910918585981,-5.438226312472597,0.05014645548469687,0.9411764705882353
