comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,vkm_per_original_request,20,20,0,0,0,-1.4379834141971441,-1.3343683927325158,-3.017137128022581,0.026147582448830586,0.9
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,avg_wait,20,20,0,0,0,-2261.1245427730314,-1805.0133723142617,-5580.389697434933,69.17400053588625,0.9
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_wait,20,20,0,0,0,-1853.6349099772226,-1923.9136124693737,-4008.949980615026,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_wait,20,20,0,0,0,-2338.0035693254504,-2289.0919957979722,-6244.083339784107,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,avg_walk,20,20,0,0,0,197.93553439295695,154.2204680543491,0.0,1037.0132683171944,0.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_walk,20,20,0,0,0,-680.4147969715046,-737.1655329094006,-981.4271880251193,259.93551141615785,0.9
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_walk,20,20,0,0,0,-614.7784289481463,-739.456021815286,-882.005630510253,951.8350081754396,0.9
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,100,avg_ivt,20,20,0,0,0,-4221.306394940026,-4267.6129561444095,-8169.206932562538,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_ivt,20,20,0,0,0,-4261.451586978094,-4215.434453818586,-8426.771507944146,0.0,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_ivt,20,20,0,0,0,-3408.6448502418875,-3462.187776676636,-8643.568235115456,0.0,0.95
