package_id,parameter_setting_id,metric,n_valid_pairs,mean_full_minus_door_to_door,min_full_minus_door_to_door,max_full_minus_door_to_door,full_better_share
utility_sensitivity,baseline_default,vkm_per_served_trip,30,-5.20211841391595,-16.82296886106752,-2.4608677965702928,1.0
utility_sensitivity,baseline_default,vkm_per_original_request,30,-1.5533386850022153,-3.0204735041523167,0.026644172827989587,0.9666666666666667
utility_sensitivity,baseline_default,served_share,30,-0.05683333333333334,-0.15000000000000002,0.020000000000000018,0.1
utility_sensitivity,ivt_disutility_high,vkm_per_served_trip,30,-6.019263699775453,-14.893786912254978,-2.1274580682783792,1.0
utility_sensitivity,ivt_disutility_high,vkm_per_original_request,30,-1.4526127916891693,-3.1187119484002865,0.30821404487960924,0.9666666666666667
utility_sensitivity,ivt_disutility_high,served_share,30,-0.05083333333333333,-0.15000000000000002,0.04000000000000001,0.06666666666666667
utility_sensitivity,outside_option_high,vkm_per_served_trip,30,-6.24348071272174,-14.893786912254978,9.663158544332124,0.9333333333333333
utility_sensitivity,outside_option_high,vkm_per_original_request,30,-0.8766036623013511,-1.687713242400206,0.0966315854433212,0.9666666666666667
utility_sensitivity,outside_option_high,served_share,30,-0.02505555555555556,-0.08,0.020000000000000004,0.13333333333333333
utility_sensitivity,service_asc_low,vkm_per_served_trip,30,-6.24348071272174,-14.893786912254978,9.663158544332124,0.9333333333333333
utility_sensitivity,service_asc_low,vkm_per_original_request,30,-0.8766036623013511,-1.687713242400206,0.0966315854433212,0.9666666666666667
utility_sensitivity,service_asc_low,served_share,30,-0.02505555555555556,-0.08,0.020000000000000004,0.13333333333333333
utility_sensitivity,wait_disutility_high,vkm_per_served_trip,30,-5.630864268554894,-16.82296886106752,-2.9899459572947933,1.0
utility_sensitivity,wait_disutility_high,vkm_per_original_request,30,-1.5118762171686038,-3.463887743434313,0.026644172827989587,0.9666666666666667
utility_sensitivity,wait_disutility_high,served_share,30,-0.05149999999999998,-0.16999999999999998,0.01,0.06666666666666667
utility_sensitivity,walk_disutility_high,vkm_per_served_trip,30,-5.19963328070192,-16.82296886106752,-2.4608677965702928,1.0
utility_sensitivity,walk_disutility_high,vkm_per_original_request,30,-1.5551307255128166,-3.0204735041523167,0.026644172827989587,0.9666666666666667
utility_sensitivity,walk_disutility_high,served_share,30,-0.057055555555555554,-0.15000000000000002,0.020000000000000018,0.1
utility_sensitivity,walk_sensitive_majority,vkm_per_served_trip,30,-4.62991853573838,-8.744117633699204,1.202401059127073,0.9666666666666667
utility_sensitivity,walk_sensitive_majority,vkm_per_original_request,30,-1.7590642047089693,-3.3555577442140407,-0.3025415103592639,1.0
utility_sensitivity,walk_sensitive_majority,served_share,30,-0.06344444444444444,-0.17000000000000004,0.010000000000000009,0.06666666666666667
mp_density_walking_radius,default_radius_default_density,vkm_per_served_trip,30,-5.20211841391595,-16.82296886106752,-2.4608677965702928,1.0
mp_density_walking_radius,default_radius_default_density,vkm_per_original_request,30,-1.5533386850022153,-3.0204735041523167,0.026644172827989587,0.9666666666666667
mp_density_walking_radius,default_radius_default_density,served_share,30,-0.05683333333333334,-0.15000000000000002,0.020000000000000018,0.1
mp_density_walking_radius,high_radius_dense_density,vkm_per_served_trip,30,-5.266913954185283,-23.19915899786195,-1.8067376312396561,1.0
mp_density_walking_radius,high_radius_dense_density,vkm_per_original_request,30,-1.1452054413551742,-3.0069031086922804,0.5546801704457026,0.9666666666666667
mp_density_walking_radius,high_radius_dense_density,served_share,30,-0.020666666666666673,-0.15000000000000002,0.060000000000000005,0.3
mp_density_walking_radius,low_radius_sparse_density,vkm_per_served_trip,30,-15.706705524772216,-36.31035500493399,-12.869880290069776,1.0
mp_density_walking_radius,low_radius_sparse_density,vkm_per_original_request,30,-3.0750399611748978,-4.556323060545425,-0.3631035500493398,1.0
mp_density_walking_radius,low_radius_sparse_density,served_share,30,-0.20611111111111105,-0.28,-0.01,0.0
fleet_demand_stress,stress_base,vkm_per_served_trip,10,-5.145021675700479,-7.348746560636543,-2.6073724206490763,1.0
fleet_demand_stress,stress_base,vkm_per_original_request,10,-1.43641641492579,-1.9529190054296364,-0.8271396564385092,1.0
fleet_demand_stress,stress_base,served_share,10,-0.043500000000000004,-0.08000000000000002,0.009999999999999981,0.1
fleet_demand_stress,stress_high_demand,vkm_per_served_trip,10,-3.8057050163322743,-6.158829077708553,-1.3102978508885315,1.0
fleet_demand_stress,stress_high_demand,vkm_per_original_request,10,-1.546303547658377,-2.2541067235227636,-0.9881816668078285,1.0
fleet_demand_stress,stress_high_demand,served_share,10,-0.07033333333333333,-0.15,-0.016666666666666607,0.0
fleet_demand_stress,stress_low_demand,vkm_per_served_trip,10,-6.047219334353781,-9.113551153529011,-3.793577819257127,1.0
fleet_demand_stress,stress_low_demand,vkm_per_original_request,10,-1.8416418714185088,-2.9077947566123017,-0.7692915640287834,1.0
fleet_demand_stress,stress_low_demand,served_share,10,-0.05600000000000001,-0.12000000000000002,0.01999999999999999,0.1
