package_id,run_id,config_id,seed,scale,scenario,method_label,variant,service_design,choice_model,reoptimization,routing_solver,evidence_family,diagnostic_role,status,detailed_reason,runtime_s,error_message,result_schema_version,timestamp_utc,artifact_dir,git_commit_or_code_hash,original_request_count,attainable_served_count,matched_target_served_count,target_basis,target_adjusted,actual_served_count,served_share,coverage_gap_count,coverage_gap_abs,coverage_tolerance_count,total_vehicle_km,vkm_per_served_trip,vkm_per_original_request,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index
matched_coverage,matched_coverage:synthetic_n500_s13:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_13,13,500,synthetic_n500_v30_s13,BidirectionalMP_Choice_RH_ALNS,FullModel,bidirectional_mp,binary_logit_with_matched_coverage_cap,rolling_horizon,alns,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,52.82495449995622,,phase06.06-03.v1,2026-06-16T07:45:40.513014+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,79,79,min_attainable_served_count_all_methods,False,79,0.158,0,0,0,783.560995681732,9.918493616224456,1.567121991363464,437.5477501524742,1004.354188688933,17.981293593776684,884.6776939459564,1.0,0.4031421928457637
matched_coverage,matched_coverage:synthetic_n500_s13:DoorToDoor_Choice_CommonRouting,matched_coverage:scale_500:seed_13,13,500,synthetic_n500_v30_s13,DoorToDoor_Choice_CommonRouting,DoorToDoor,door_to_door,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,2.436807599849999,,phase06.06-03.v1,2026-06-16T07:45:42.974098+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,94,79,min_attainable_served_count_all_methods,True,79,0.158,0,0,0,935.3707962836042,11.840136661817775,1.8707415925672084,3553.7251357132777,19384.299090977627,0.0,6871.330433483901,7.583607639660078,0.34374923802341617
matched_coverage,matched_coverage:synthetic_n500_s13:SingleSidedDropoff_Choice_CommonRouting,matched_coverage:scale_500:seed_13,13,500,synthetic_n500_v30_s13,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,single_sided_dropoff,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,4.351003900170326,,phase06.06-03.v1,2026-06-16T07:45:47.346534+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,101,79,min_attainable_served_count_all_methods,True,79,0.158,0,0,0,838.5031466670246,10.613963881861071,1.677006293334049,2946.1486607797938,13612.91334271382,865.7160539154307,5879.960392696259,6.461054512345044,0.3398580996895455
matched_coverage,matched_coverage:synthetic_n500_s13:SingleSidedPickup_Choice_CommonRouting,matched_coverage:scale_500:seed_13,13,500,synthetic_n500_v30_s13,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,single_sided_pickup,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,5.867125799879432,,phase06.06-03.v1,2026-06-16T07:45:53.235418+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,83,79,min_attainable_served_count_all_methods,True,79,0.158,0,0,0,925.89045382638,11.720132326916204,1.85178090765276,5494.794835018104,20867.001016369843,895.4131459016501,8120.8561232532375,8.659731802932324,0.35542716341518865
matched_coverage,matched_coverage:synthetic_n500_s14:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_14,14,500,synthetic_n500_v30_s14,BidirectionalMP_Choice_RH_ALNS,FullModel,bidirectional_mp,binary_logit_with_matched_coverage_cap,rolling_horizon,alns,supplementary_control,matched_coverage_control,failed,actual served count differs from target by -7,33.254697300028056,coverage gap count -7,phase06.06-03.v1,2026-06-16T07:46:26.513088+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,80,76,min_attainable_served_count_all_methods,True,69,0.138,-7,7,0,599.4293364212645,8.687381687264702,1.198858672842529,370.9098004929995,896.5124106200274,59.430695438437425,894.4273320038006,1.0,0.40451169006468946
matched_coverage,matched_coverage:synthetic_n500_s14:DoorToDoor_Choice_CommonRouting,matched_coverage:scale_500:seed_14,14,500,synthetic_n500_v30_s14,DoorToDoor_Choice_CommonRouting,DoorToDoor,door_to_door,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,7.626347600016743,,phase06.06-03.v1,2026-06-16T07:46:34.161484+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,76,76,min_attainable_served_count_all_methods,False,76,0.152,0,0,0,965.220091827963,12.700264366157407,1.930440183655926,7547.6752884760235,24178.59699488696,0.0,4013.5444310107378,5.22150834923076,0.37362470115902924
matched_coverage,matched_coverage:synthetic_n500_s14:SingleSidedDropoff_Choice_CommonRouting,matched_coverage:scale_500:seed_14,14,500,synthetic_n500_v30_s14,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,single_sided_dropoff,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,3.3365312996320426,,phase06.06-03.v1,2026-06-16T07:46:37.519849+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,113,76,min_attainable_served_count_all_methods,True,76,0.152,0,0,0,794.7539218806028,10.457288445797404,1.5895078437612056,4288.262791980044,18510.414615058777,896.5544934745681,4461.676548474487,4.65318416235412,0.3893856733369163
matched_coverage,matched_coverage:synthetic_n500_s14:SingleSidedPickup_Choice_CommonRouting,matched_coverage:scale_500:seed_14,14,500,synthetic_n500_v30_s14,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,single_sided_pickup,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,3.584082799963653,,phase06.06-03.v1,2026-06-16T07:46:41.127070+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,103,76,min_attainable_served_count_all_methods,True,76,0.152,0,0,0,823.2863274883737,10.832714835373338,1.6465726549767474,3739.241635691805,14416.515559074674,884.3165265216361,5427.310434561182,6.201261285013438,0.3532095759643772
matched_coverage,matched_coverage:synthetic_n500_s15:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_15,15,500,synthetic_n500_v30_s15,BidirectionalMP_Choice_RH_ALNS,FullModel,bidirectional_mp,binary_logit_with_matched_coverage_cap,rolling_horizon,alns,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,35.89759619999677,,phase06.06-03.v1,2026-06-16T07:47:17.048045+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,85,85,min_attainable_served_count_all_methods,False,85,0.17,0,0,0,761.9084591614777,8.963628931311503,1.5238169183229555,416.32283743334784,933.2989075375019,96.41347058285841,971.3090762309185,1.0,0.3949122193149417
matched_coverage,matched_coverage:synthetic_n500_s15:DoorToDoor_Choice_CommonRouting,matched_coverage:scale_500:seed_15,15,500,synthetic_n500_v30_s15,DoorToDoor_Choice_CommonRouting,DoorToDoor,door_to_door,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,2.2697593001648784,,phase06.06-03.v1,2026-06-16T07:47:19.340265+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,113,85,min_attainable_served_count_all_methods,True,85,0.17,0,0,0,1068.3340329101786,12.56863568129622,2.1366680658203574,3868.07452483686,17936.233780276547,0.0,5417.684109488083,5.132469902806918,0.29121232671358044
