run_id,config_id,variant,scale,seed,scenario,method_label,service_design,choice_model,reoptimization,routing_solver,evidence_family,diagnostic_role,legacy_class,status,detailed_reason,runtime_s,error_message,result_schema_version,timestamp_utc,artifact_dir,git_commit_or_code_hash,n_requests,n_offered,n_served,acceptance_rate,vehicle_km,total_vehicle_km,served_share,behavioral_acceptance_rate,choice_rejection_rate,feasibility_rejection_rate,vkm_per_served_trip,vkm_per_original_request,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
synthetic_n100_v10_s1:BidirectionalMP_Choice_RH_ALNS:s1,synthetic_n100_v10_s1:scale_100:seed_1,FullModel,100,1,synthetic_n100_v10_s1,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,1.4083230998367071,,phase04.v1,2026-06-16T06:16:43.332883+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\smoke,d7798a1,100,49,11,0.11,110.3637143949835,110.3637143949835,0.11,0.62,0.38,0.51,10.0330649449985,1.1036371439498351,385.6016941349742,781.6937839071054,281.8906175947679,1029.706705663324,1.0,0.3768271579918112,1.4083230998367071
synthetic_n100_v10_s1:DoorToDoor_Choice_CommonRouting:s1,synthetic_n100_v10_s1:scale_100:seed_1,DoorToDoor,100,1,synthetic_n100_v10_s1,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.17335999989882112,,phase04.v1,2026-06-16T06:16:43.537193+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\smoke,d7798a1,100,90,26,0.26,400.39865002112776,400.39865002112776,0.26,0.36,0.64,0.1,15.399948077735683,4.003986500211278,1192.7930135922093,7757.248016104495,0.0,4256.39343682601,4.0636754802349975,0.30012793423324546,0.17335999989882112
synthetic_n100_v10_s1:SingleSidedDropoff_Choice_CommonRouting:s1,synthetic_n100_v10_s1:scale_100:seed_1,SingleSidedDropoff,100,1,synthetic_n100_v10_s1,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.18755079992115498,,phase04.v1,2026-06-16T06:16:43.748646+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\smoke,d7798a1,100,64,20,0.2,352.13934215683634,352.13934215683634,0.2,0.56,0.44,0.36,17.606967107841818,3.5213934215683635,797.7045760187856,2416.5159884213317,964.2985867837039,4921.537947688976,4.206934686118907,0.33368601283654775,0.18755079992115498
synthetic_n100_v10_s1:SingleSidedPickup_Choice_CommonRouting:s1,synthetic_n100_v10_s1:scale_100:seed_1,SingleSidedPickup,100,1,synthetic_n100_v10_s1,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.26435629976913333,,phase04.v1,2026-06-16T06:16:44.035721+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\smoke,d7798a1,100,77,22,0.22,387.8809418393704,387.8809418393704,0.22,0.44999999999999996,0.55,0.23,17.63095190178956,3.878809418393704,1326.8243469716356,6543.5341987010925,1001.8772434285682,6536.172254892741,6.809590261408538,0.3035361015166529,0.26435629976913333
