run_id,config_id,variant,scale,seed,scenario,method_label,service_design,choice_model,reoptimization,routing_solver,evidence_family,diagnostic_role,legacy_class,status,detailed_reason,runtime_s,error_message,result_schema_version,timestamp_utc,artifact_dir,git_commit_or_code_hash,n_requests,n_offered,n_served,acceptance_rate,vehicle_km,total_vehicle_km,served_share,behavioral_acceptance_rate,choice_rejection_rate,feasibility_rejection_rate,vkm_per_served_trip,vkm_per_original_request,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
synthetic_n100_v10_s3:SingleSidedDropoff_Choice_CommonRouting:s3,synthetic_n100_v10_s3:scale_100:seed_3,SingleSidedDropoff,100,3,synthetic_n100_v10_s3,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.45321499975398183,,phase04.v1,2026-06-16T06:18:49.150861+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,78,25,0.25,365.1286522997495,365.1286522997495,0.25,0.47,0.53,0.22,14.60514609198998,3.651286522997495,1799.4688015414658,6433.497519041913,984.9354222429694,5971.297043876541,6.413788766619904,0.18490945650349522,0.45321499975398183
synthetic_n100_v10_s3:SingleSidedPickup_Choice_CommonRouting:s3,synthetic_n100_v10_s3:scale_100:seed_3,SingleSidedPickup,100,3,synthetic_n100_v10_s3,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.4418437001295388,,phase04.v1,2026-06-16T06:18:49.620223+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,77,24,0.24,389.35463302339207,389.35463302339207,0.24,0.47,0.53,0.23,16.223109709308,3.893546330233921,2782.586984029776,12762.74480482853,813.9063471906424,6672.572632949491,6.559893005133925,0.23414055901152864,0.4418437001295388
synthetic_n100_v10_s4:BidirectionalMP_Choice_RH_ALNS:s4,synthetic_n100_v10_s4:scale_100:seed_4,FullModel,100,4,synthetic_n100_v10_s4,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,0.04718929994851351,,phase04.v1,2026-06-16T06:18:49.693725+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,15,2,0.02,38.97477228773294,38.97477228773294,0.02,0.87,0.13,0.85,19.48738614386647,0.3897477228773294,143.06874915634899,271.83062339706305,1037.0132683171944,873.962771822391,1.0,0.5,0.04718929994851351
synthetic_n100_v10_s4:DoorToDoor_Choice_CommonRouting:s4,synthetic_n100_v10_s4:scale_100:seed_4,DoorToDoor,100,4,synthetic_n100_v10_s4,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.004517900291830301,,phase04.v1,2026-06-16T06:18:49.727729+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,17,1,0.01,36.31035500493399,36.31035500493399,0.01,0.84,0.16,0.83,36.31035500493399,0.36310355004933986,320.3885697906205,320.3885697906205,0.0,2054.2822951242624,1.0,0.0,0.004517900291830301
synthetic_n100_v10_s4:SingleSidedDropoff_Choice_CommonRouting:s4,synthetic_n100_v10_s4:scale_100:seed_4,SingleSidedDropoff,100,4,synthetic_n100_v10_s4,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.019302899949252605,,phase04.v1,2026-06-16T06:18:49.777091+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,14,1,0.01,36.36001404284988,36.36001404284988,0.01,0.87,0.13,0.86,36.36001404284988,0.3636001404284988,320.3885697906205,320.3885697906205,85.17826014175479,2060.243764261825,1.0029019717259464,0.0,0.019302899949252605
synthetic_n100_v10_s4:SingleSidedPickup_Choice_CommonRouting:s4,synthetic_n100_v10_s4:scale_100:seed_4,SingleSidedPickup,100,4,synthetic_n100_v10_s4,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.23926599975675344,,phase04.v1,2026-06-16T06:18:50.042768+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,49,15,0.15,295.61041921656056,295.61041921656056,0.15,0.6599999999999999,0.34,0.51,19.70736128110404,2.9561041921656055,2768.646415904493,12193.444701963625,777.0777569010365,7604.368840333239,5.447316351691517,0.34557612013857897,0.23926599975675344
synthetic_n100_v10_s5:BidirectionalMP_Choice_RH_ALNS:s5,synthetic_n100_v10_s5:scale_100:seed_5,FullModel,100,5,synthetic_n100_v10_s5,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,0.8483087001368403,,phase04.v1,2026-06-16T06:18:50.919552+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,45,14,0.14,160.8371384211448,160.8371384211448,0.14,0.69,0.31,0.55,11.488367030081772,1.608371384211448,544.872036121498,955.0807463662397,147.22691916147588,1089.5204499582303,1.0,0.38782427740155057,0.8483087001368403
synthetic_n100_v10_s5:DoorToDoor_Choice_CommonRouting:s5,synthetic_n100_v10_s5:scale_100:seed_5,DoorToDoor,100,5,synthetic_n100_v10_s5,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.2435707999393344,,phase04.v1,2026-06-16T06:18:51.192117+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,46,15,0.15,233.46584185492236,233.46584185492236,0.15,0.69,0.31,0.54,15.564389456994824,2.3346584185492234,4921.316060669839,16923.614699162805,0.0,9079.854809993196,11.875795963706805,0.25378463886117997,0.2435707999393344
synthetic_n100_v10_s5:SingleSidedDropoff_Choice_CommonRouting:s5,synthetic_n100_v10_s5:scale_100:seed_5,SingleSidedDropoff,100,5,synthetic_n100_v10_s5,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.32406700029969215,,phase04.v1,2026-06-16T06:18:51.543564+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,46,15,0.15,250.4563436667085,250.4563436667085,0.15,0.69,0.31,0.54,16.697089577780567,2.5045634366670853,2569.241447292108,12503.764801588995,810.2520495470739,9733.088685073686,9.398751450441717,0.20896250531389238,0.32406700029969215
synthetic_n100_v10_s5:SingleSidedPickup_Choice_CommonRouting:s5,synthetic_n100_v10_s5:scale_100:seed_5,SingleSidedPickup,100,5,synthetic_n100_v10_s5,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.44786700000986457,,phase04.v1,2026-06-16T06:18:52.018050+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,53,15,0.15,244.9217054446199,244.9217054446199,0.15,0.62,0.38,0.47,16.328113696307994,2.449217054446199,4553.822016736524,19267.149445451752,1128.6541071865952,8779.37186552895,7.398274059485781,0.3849837981750359,0.44786700000986457
synthetic_n100_v10_s6:BidirectionalMP_Choice_RH_ALNS:s6,synthetic_n100_v10_s6:scale_100:seed_6,FullModel,100,6,synthetic_n100_v10_s6,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,2.664377100300044,,phase04.v1,2026-06-16T06:18:54.711301+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,62,17,0.17,165.68108348850797,165.68108348850797,0.17,0.55,0.45,0.38,9.745946087559291,1.6568108348850796,525.8769027698955,1024.1620781629217,128.57520634921332,896.5379355059719,1.0,0.4106827113728353,2.664377100300044
synthetic_n100_v10_s6:DoorToDoor_Choice_CommonRouting:s6,synthetic_n100_v10_s6:scale_100:seed_6,DoorToDoor,100,6,synthetic_n100_v10_s6,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.1524410997517407,,phase04.v1,2026-06-16T06:18:54.891888+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,78,22,0.22,328.7746386166057,328.7746386166057,0.22,0.43999999999999995,0.56,0.22,14.94430175530026,3.287746386166057,1137.088118422359,6170.866380814998,0.0,1942.4652310125532,1.7813058153842058,0.4142463984605911,0.1524410997517407
synthetic_n100_v10_s6:SingleSidedDropoff_Choice_CommonRouting:s6,synthetic_n100_v10_s6:scale_100:seed_6,SingleSidedDropoff,100,6,synthetic_n100_v10_s6,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.31414399994537234,,phase04.v1,2026-06-16T06:18:55.231619+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,84,26,0.26,370.38636386468704,370.38636386468704,0.26,0.42000000000000004,0.58,0.16,14.24562937941104,3.7038636386468706,1426.3800731092583,5478.932649299355,941.8518905644462,2564.451695695985,2.8213459283040363,0.3834751535988896,0.31414399994537234
synthetic_n100_v10_s6:SingleSidedPickup_Choice_CommonRouting:s6,synthetic_n100_v10_s6:scale_100:seed_6,SingleSidedPickup,100,6,synthetic_n100_v10_s6,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.25315820006653666,,phase04.v1,2026-06-16T06:18:55.508412+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,80,25,0.25,340.952068849767,340.952068849767,0.25,0.44999999999999996,0.55,0.2,13.63808275399068,3.40952068849767,747.4590561713345,3151.076637419139,785.2864111971611,2151.9751965561136,2.441198977046336,0.3297886147450053,0.25315820006653666
synthetic_n100_v10_s7:BidirectionalMP_Choice_RH_ALNS:s7,synthetic_n100_v10_s7:scale_100:seed_7,FullModel,100,7,synthetic_n100_v10_s7,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,1.8025573999620974,,phase04.v1,2026-06-16T06:18:57.337689+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,60,13,0.13,153.58495563931078,153.58495563931078,0.13,0.53,0.47,0.4,11.81422735687006,1.5358495563931078,450.36452466292536,690.4201000511201,135.66673219244728,1110.2451922346884,1.0,0.3140862238897102,1.8025573999620974
synthetic_n100_v10_s7:DoorToDoor_Choice_CommonRouting:s7,synthetic_n100_v10_s7:scale_100:seed_7,DoorToDoor,100,7,synthetic_n100_v10_s7,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.22331969998776913,,phase04.v1,2026-06-16T06:18:57.587551+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,89,27,0.27,455.6323060545425,455.6323060545425,0.27,0.38,0.62,0.11,16.875270594612683,4.556323060545425,1623.0971860174939,6228.054815924298,0.0,6034.252296430546,6.187863029754766,0.3718525337591012,0.22331969998776913
synthetic_n100_v10_s7:SingleSidedDropoff_Choice_CommonRouting:s7,synthetic_n100_v10_s7:scale_100:seed_7,SingleSidedDropoff,100,7,synthetic_n100_v10_s7,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.2778993002139032,,phase04.v1,2026-06-16T06:18:57.893245+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,81,19,0.19,284.3577494090858,284.3577494090858,0.19,0.38,0.62,0.19,14.966197337320304,2.843577494090858,1782.052944677019,10610.77635896094,907.9040882852603,2447.9784560530484,2.1012839167560835,0.3942124074917397,0.2778993002139032
synthetic_n100_v10_s7:SingleSidedPickup_Choice_CommonRouting:s7,synthetic_n100_v10_s7:scale_100:seed_7,SingleSidedPickup,100,7,synthetic_n100_v10_s7,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.3564925999380648,,phase04.v1,2026-06-16T06:18:58.292743+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,82,24,0.24,374.9607545509506,374.9607545509506,0.24,0.42000000000000004,0.58,0.18,15.623364772956274,3.7496075455095057,1180.568741960692,8439.41781932315,1013.6998189896573,6004.378302501204,5.909934160664728,0.369523967957214,0.3564925999380648
synthetic_n100_v10_s8:BidirectionalMP_Choice_RH_ALNS:s8,synthetic_n100_v10_s8:scale_100:seed_8,FullModel,100,8,synthetic_n100_v10_s8,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,1.1484599001705647,,phase04.v1,2026-06-16T06:18:59.464711+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,45,8,0.08,93.03949475889802,93.03949475889802,0.08,0.63,0.37,0.55,11.629936844862252,0.9303949475889801,387.1720795028277,696.2549231778399,341.1069981404788,953.5671979556446,1.0,0.15744106942188685,1.1484599001705647
synthetic_n100_v10_s8:DoorToDoor_Choice_CommonRouting:s8,synthetic_n100_v10_s8:scale_100:seed_8,DoorToDoor,100,8,synthetic_n100_v10_s8,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.1440677996724844,,phase04.v1,2026-06-16T06:18:59.636404+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\main_behavioral,d7798a1,100,61,15,0.15,234.9574588830263,234.9574588830263,0.15,0.54,0.46,0.39,15.663830592201753,2.3495745888302633,1455.8549233735284,5483.602624538413,0.0,5121.72779230289,4.852091967917573,0.17275823789988376,0.1440677996724844
