variant,acceptance_rate_mean,acceptance_rate_std,vehicle_km_mean,vehicle_km_std,total_vehicle_km_mean,total_vehicle_km_std,served_share_mean,served_share_std,behavioral_acceptance_rate_mean,behavioral_acceptance_rate_std,choice_rejection_rate_mean,choice_rejection_rate_std,feasibility_rejection_rate_mean,feasibility_rejection_rate_std,vkm_per_served_trip_mean,vkm_per_served_trip_std,vkm_per_original_request_mean,vkm_per_original_request_std,avg_wait_mean,avg_wait_std,p95_wait_mean,p95_wait_std,avg_walk_mean,avg_walk_std,avg_ivt_mean,avg_ivt_std,detour_ratio_mean,detour_ratio_std,fairness_index_mean,fairness_index_std,cpu_time_mean,cpu_time_std
DoorToDoor,0.2004,0.05076853516845342,772.6979399235967,397.89869382707667,772.6979399235967,397.89869382707667,0.2004,0.05076853516845342,0.4369791666666667,0.1438853890648986,0.5630208333333333,0.14388538906489862,0.23657916666666665,0.18901931932120744,14.665096296182242,3.488051616405939,2.9002261431312224,0.7540875531616574,3906.9399391243437,1753.7099643545002,17403.039281602272,6199.14914178331,0.0,0.0,6133.244020732983,1648.3453739953034,6.258045452801887,2.2058912893198164,0.3017114658547543,0.06499002059035927,3.63366808873252,4.358375809895182
FullModel,0.15752916666666666,0.039275316353704195,444.49141518565705,274.4863502919795,444.49141518565705,274.4863502919795,0.15752916666666666,0.039275316353704195,0.4604916666666667,0.11521204049780587,0.5395083333333333,0.1152120404978059,0.30296249999999997,0.1488334573050074,9.951026631353512,1.8625803378472081,1.568676969001396,0.4069142922113515,406.757908583126,89.62938362279907,906.503859553088,204.5668045816481,100.87868912381755,124.89787963547927,963.3676213751689,144.13997077287127,0.9877521199974467,0.1118437565456635,0.372810149380103,0.07333537353782707,14.49824864252587,15.516205895998066
SingleSidedDropoff,0.19354583333333333,0.0441123499694952,710.9475363186233,366.0015018859452,710.9475363186233,366.0015018859452,0.19354583333333333,0.0441123499694952,0.45148333333333335,0.12837130678256445,0.5485166666666667,0.12837130678256448,0.25793750000000004,0.1658765753154936,13.907121927354263,3.5085935796832866,2.662335803591437,0.6840958318172807,3863.4049104425503,1773.2126775592076,16614.480424110297,6286.509504264381,868.8829148223069,144.40723745766863,5644.137221649158,1694.1505509501956,5.495295549828854,1.9144247237290626,0.30831459446563325,0.06655750144024439,6.199264821247198,7.520294009401036
SingleSidedPickup,0.19925833333333334,0.047023977933637585,715.5794571775614,351.0305130570263,715.5794571775614,351.0305130570263,0.19925833333333334,0.047023977933637585,0.4557125,0.11586995892141357,0.5442875,0.11586995892141362,0.25645416666666665,0.1542321504784575,13.682781803556642,2.478678435316674,2.740614354945541,0.7220568948980866,3525.860723154965,1490.9707164754961,16397.307032038287,5629.037367827323,904.7715202626893,121.27448507344107,6264.806026007834,1555.3336584267413,5.983924614862453,1.7284007836000757,0.31530490375346454,0.05275532694081018,6.550552926253294,7.776856268392369
