package_id,config_id,seed,scale,scenario,method_label,passenger_type,n_original,n_served,served_share,type_level_acceptance_rate,choice_rejection_rate,feasibility_rejection_rate,avg_wait,avg_walk,avg_ivt,mean_generalized_cost,equity_gini_acceptance,status
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_1,1,100,synthetic_n100_v10_s1,DoorToDoor_Choice_CommonRouting,price_sensitive,38,10,0.2631578947368421,0.2631578947368421,0.631578947368421,0.10526315789473684,655.0823845859679,0.0,3948.630685561721,0.18293298089100232,0.27951202009329035,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_1,1,100,synthetic_n100_v10_s1,DoorToDoor_Choice_CommonRouting,time_sensitive,36,4,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.05555555555555555,5049.254935960692,0.0,4432.049958637276,0.18911482837857507,0.27951202009329035,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_1,1,100,synthetic_n100_v10_s1,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,12,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.15384615384615385,355.39789697458247,0.0,4454.310222275829,0.3391625561711604,0.27951202009329035,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_1,1,100,synthetic_n100_v10_s1,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,4,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.5789473684210527,297.8896517991558,275.52187657475037,1271.7528345884652,0.0857572459070977,0.13727422003284095,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_1,1,100,synthetic_n100_v10_s1,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,3,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.5,443.3558510942144,0.0,819.0196267330808,0.11427620213819914,0.13727422003284095,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_1,1,100,synthetic_n100_v10_s1,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,4,0.15384615384615385,0.15384615384615385,0.4230769230769231,0.4230769230769231,429.9981187513623,499.6773218108614,945.6758859358656,0.09849811852001697,0.13727422003284095,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_2,2,100,synthetic_n100_v10_s2,DoorToDoor_Choice_CommonRouting,price_sensitive,38,10,0.2631578947368421,0.2631578947368421,0.6052631578947368,0.13157894736842105,2829.599863781512,0.0,4923.642074737702,0.15601165665898772,0.17840375586854496,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_2,2,100,synthetic_n100_v10_s2,DoorToDoor_Choice_CommonRouting,time_sensitive,36,6,0.16666666666666666,0.16666666666666666,0.75,0.08333333333333333,3475.3970910264197,0.0,846.7003469885245,0.27921842555200516,0.17840375586854496,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_2,2,100,synthetic_n100_v10_s2,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,10,0.38461538461538464,0.38461538461538464,0.5,0.11538461538461539,523.2507823384589,0.0,2526.69660470149,0.25049061553359786,0.17840375586854496,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_2,2,100,synthetic_n100_v10_s2,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,7,0.18421052631578946,0.18421052631578946,0.4473684210526316,0.3684210526315789,509.98496442478285,0.0,796.9419331729041,0.11802387268870133,0.26816628073657567,completed
